Nomor Inventaris,Nama Mesin,Merk,Tanggal Pembelian,Location,Made In,Kondisi Mesin,Mesin Yang Tersedia,Kelompok Mesin
TW-MPP-00402,Mesin Jarum 1  S7180A,Brother,2021-10-21 00:00:00,TEBET,Vietnam,Normal,1,SN
TW-MPP-00403,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TERJUAL,China,Terjual,1,SN
TW-MPP-00404,Mesin Lubang Kancing QQ RH-980A,Brother,2018-05-15 00:00:00,TW38,China,Rusak,1,Mesin QQ
TW-MPP-00405,Mesin Jarum 1  S7180A,Brother,2021-10-21 00:00:00,TEBET,Vietnam,Normal,1,SN
TW-MPP-00406,Mesin Jarum 1  ZJ9701R-D2,Zoje,2011-11-23 00:00:00,TW38,China,Terjual,1,SN
TW-MPP-00407,Mesin Make Up DT6-8921,Brother,2017-12-01 00:00:00,TEBET,China,Normal,1,Makeup
TW-MPP-00408,Mesin Lubang Kancing HE-800C-2,Brother,2021-10-21 00:00:00,TEBET,China,Normal,1,Button Holer
TW-MPP-00409,Meja Gosok,,2010-02-01 00:00:00,TEBET,Indonesia,Normal,1,Ironning
TW-MPP-00410,Gosokan,,,TW38,Indonesia,Normal,1,Ironning
TW-MPP-00413,PNEUMATIC SNAP BUTTON JUZI,Juzi,2010-10-05 00:00:00,TW1,China,Normal,1,Snap Attaching
TW-MPP-00414,Mesin Jarum 1  ZJ9701R-D3,Zoje,2011-11-28 00:00:00,TERJUAL,China,Terjual,1,SN
TW-MPP-00415,Mesin SIDE CUTTER GC6170 ,Typical,2013-12-01 00:00:00,TW38,China,Normal,1,SC
TW-MPP-00417,Mesin Side CutterH99S,Hikari,2024-01-10 00:00:00,TW38,China,Normal,1,SC
,-,,,TIDAK DITEMUKAN,China,Rusak,1,Manual
TW-MPP-00565,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00566,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00486,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00425,Mesin Soom JC 9330-01,Brother,2025-01-20 00:00:00,TW1,China,Normal,1,Soom
TW-MPP-00792,Mesin Jarum 2 Brother T-8450C-003,Brother,2025-01-20 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00427,Mesin Lubang Kancing Brother HE-800C-2,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Button Holer
TW-MPP-00428,Mesin Lubang Kancing  HE-800C-2,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Button Holer
TW-MPP-00429,Mesin Lubang Kancing HE-800C-2,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Button Holer
TW-MPP-00430,Mesin Pasang Kancing Brother BE-438HS,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Pasang Kancing
TW-MPP-00431,Mesin Pasang Kancing Brother BE-438HS,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Pasang Kancing
TW-MPP-00432,Mesin Pasang Kancing Brother BE-438HS,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Pasang Kancing
TW-MPP-00433,Mesin Bartack Brother KE-430HS-03,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Bartack
TW-MPP-00434,Mesin Bartack Brother KE-430HS-03,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Bartack
TW-MPP-00435,Mesin Bartack Brother KE-430HS-03,Brother,2025-06-13 00:00:00,TW38,China,Normal,1,Bartack
TW-MPP-00568,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00569,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00570,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00439,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00440,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00441,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00442,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00443,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00444,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00445,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00446,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00447,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00448,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00449,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00450,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00572,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00452,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00453,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00454,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00455,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00456,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00457,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00458,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00459,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00460,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00461,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00464,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00465,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00466,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00467,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00468,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00469,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00586,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00314,Mesin Tamplate  JKC-NS2-13095-LM-LC1,Jooke,2025-04-28 00:00:00,TW1,China,Normal,1,Lain-lain
TW-MPP-00315,Mesin Tamplate  JKC-NS2-13095-LM-LC1,Jooke,2025-04-28 00:00:00,TW38,China,Normal,1,Lain-lain
TW-MPP-00473,Mesin Lubang QQ RH-982A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,Lain-lain
TW-MPP-00474,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00475,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00476,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,china,Normal,1,SN
TW-MPP-00518,Mesin Obras MO-6816S JUKI,JUKI,2025-03-14 00:00:00,TW38,Jepang,Normal,1,OL 3
TW-MPP-00778,Mesin Obras MO-6800 JUKI,JUKI,2016-01-16 00:00:00,TW1,Jepang,Normal,1,OL 3
TW-MPP-00479,Mesin Jarum 2 T-8450C-003,Brother,2020-07-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00498,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00499,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00500,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00508,Mesin Tamplate JKC-NS2-13095-LM-XH,Jooke,2025-08-13 00:00:00,TW38,China,Normal,1,Lain-lain
TW-MPP-00509,Meja Gosok Nissin,Nissin,2025-07-03 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00510,Meja Gosok Nissin,Nissin,2025-07-03 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00526,Mesin Obras MO-6816D JUKI,JUKI,2016-01-16 00:00:00,TW38,Jepang,Normal,1,OL 3
TW-MPP-00531,Mesin Obras MO-6800s JUKI,JUKI,2018-08-16 00:00:00,TW38,Jepang,Normal,1,OL 3
TW-MPP-00545,Mesin Bobok Kantong  APW-895N,JUKI,2025-09-27 00:00:00,TW38,Jepang,Normal,1,APW
TW-MPP-00550,Mesin Obras MO-6800s JUKI,JUKI,,TW38,Jepang,Normal,1,OL 3
TW-MPP-00588,Mesin Obras MO-6816S JUKI,JUKI,2022-07-18 00:00:00,TW38,Jepang,Normal,1,OL 3
TW-MPP-00594,Mesin Obras MO-6816S JUKI,JUKI,2023-04-06 00:00:00,TW1,Jepang,Normal,1,OL 3
TW-MPP-00470,Auto Cut J-wei CB03II-2516-RQ/Projectors,J-Wei,2025-06-13 00:00:00,TW38,Taiwan,Normal,1,Manual
TW-MPP-00478,Mesin Ban Karet (Kansai Plaket) DFB1404PMD,Kansai sp,2017-12-02 00:00:00,TW38,Jepang,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00334,"Stabilizer Digital 30 KVA AVR - LD 22,5 GT",Matsuyama,2025-05-06 00:00:00,TW38,Jepang,Normal,1,Helper
TW-MPP-00113,Meja Gosok Megochi,megochi,2019-09-18 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00527,Meja Gosok Megochi,megochi,,TW1,China,Normal,1,Ironning
TW-MPP-00529,Meja Gosok Megochi,megochi,2019-02-04 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00530,Meja Gosok Megochi,megochi,,TIDAK DITEMUKAN,China,Normal,1,Ironning
TW-MPP-00532,Meja Gosok Megochi,megochi,,TW1,China,Normal,1,Ironning
TW-MPP-00533,Meja Gosok Megochi,megochi,,TIDAK DITEMUKAN,China,Rusak,1,Ironning
TW-MPP-00534,Meja Gosok Megochi,megochi,,TIDAK DITEMUKAN,China,Rusak,1,Ironning
TW-MPP-00593,Meja Gosok Megochi,megochi,2019-02-04 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00140,BOILER LISTRIK,Nissin,2020-04-06 00:00:00,TW1,Jepang,Normal,1,Helper
TW-MPP-00536,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00537,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00538,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00539,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00540,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00541,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00542,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00336,Mesin Pisau Lempar potong Gelaran NS-980D,Nissin,2025-03-14 00:00:00,TW38,Jepang,Normal,1,Manual
TW-MPP-00337,Mesin Pisau Lempar potong Gelaran NS-980D,Nissin,2025-03-14 00:00:00,TW38,Jepang,Normal,1,Manual
TW-MPP-00546,Mesin Obras MO-6816D JUKI,Juki,2025-03-14 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00547,Mesin Obras MO-6816D JUKI,Juki,2025-03-14 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00549,Mesin Jarum 1 (DDL-900B),Juki,2018-09-27 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00338,Mesin Band Knife NS-BK900B,Nissin,2025-03-14 00:00:00,TW1,Jepang,Normal,1,Manual
TW-MPP-00551,Mesin Jarum 1 (DDL-900B),Juki,2016-01-01 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00552,Mesin Obras MO-6816D JUKI,Juki,2023-04-06 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00553,Mesin Obras MO-6816D JUKI,Juki,2023-04-06 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00555,Mesin Obras MO-6816D JUKI,Juki,2023-04-06 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00556,Mesin Jarum 1  S7180A,Brother,2023-04-05 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00557,Mesin Jarum 1 (DDL-900B),Juki,2019-02-02 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00558,Mesin Bass  JOOKE,Jooke,2023-10-26 00:00:00,TW1,China,Normal,1,Bass
TW-MPP-00421,Meja Gosok Nissin,Nissin,2024-12-04 00:00:00,TW38,Jepang,Normal,1,Ironning
TW-MPP-00560,Mesin Obras MO-6800 JUKI,Juki,2018-08-07 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00561,Mesin Jarum 1  S7180A,Brother,2022-06-07 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00563,Mesin Jarum 1 S7100A,Brother,2020-07-13 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00422,Meja Gosok Nissin,Nissin,2024-12-04 00:00:00,TW38,Jepang,Normal,1,Ironning
TW-MPP-00423,Meja Gosok Nissin,Nissin,2024-12-04 00:00:00,TW38,Jepang,Normal,1,Ironning
TW-MPP-00438,Mesin Blind Stitch NS-160-20 ,Nissin,2025-05-14 00:00:00,TW38,Jepang,Normal,1,Blind Tack
TW-MPP-00599,Meja Gosok Nissin,Nissin,2025-07-03 00:00:00,TW38,Jepang,Normal,1,Ironning
