Nomor Inventaris,Nama Mesin,Merk,Tanggal Pembelian,Location,Made In,Kondisi Mesin,Mesin Yang Tersedia,Kelompok Mesin
TW-MPP-00638,Mesin Pasang Kancing Brother BE-438HS,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Pasang Kancing
TW-MPP-00639,Mesin Bartack Brother KE-430HS-03,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Bartack
TW-MPP-00640,Mesin Jarum 2 Brother T-8450C-003,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00641,Mesin Jarum 2 Brother T-8450C-003,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00642,Mesin Jarum 2 Brother T-8450C-003,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00643,Mesin Ban Karet (Kansai Plaket) DFB1404PMD,Kansai sp,2024-12-30 00:00:00,TW38,Jepang,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00644,Mesin Ban Karet (Kansai Plaket) DFB1404PMD,Kansai sp,2024-12-30 00:00:00,TW1,Jepang,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00645,Mesin Ban Karet (Kansai Plaket) DFB1404PMD,Kansai sp,2024-12-30 00:00:00,TW38,Jepang,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00646,Mesin Jarum 2 Brother T-8450C-003,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00647,Mesin Lubang Kancing HE-800C-2,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Button Holer
TW-MPP-00648,Mesin Pasang Kancing Brother BE-438HS,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,Pasang Kancing
TW-MPP-00574,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00650,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00506,Mesin Gurinda duduk,domax,2025-08-07 00:00:00,TW1,China,Normal,1,Lain-lain
TW-MPP-00652,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00653,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00654,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00655,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00656,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00657,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00658,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00659,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00660,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00661,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00662,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00663,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00664,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00665,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00666,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00667,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00668,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00669,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00670,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00671,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00673,Mesin Jarum 1 S7180A,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00674,Boiler Gas EH 500KH,,2024-11-20 00:00:00,TW38,China,Normal,1,Helper
TW-MPP-00688,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00689,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00690,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00691,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00692,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00693,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00694,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00695,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00696,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00697,Meja Gosok Nissin,Nissin,2025-04-09 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00698,Meja Gosok Nissin,Nissin,2024-12-04 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00699,Meja Gosok Nissin,Nissin,2024-12-04 00:00:00,TW38,China,Normal,1,Ironning
TW-MPP-00700,Mesin Jarum 1  S7180A,Brother,2024-08-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00702,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00712,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00713,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00714,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00715,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00716,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00717,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00718,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00719,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00720,ALAT PASANG BENANG,JING JIU JIANG,2025-02-05 00:00:00,TW38,China,Normal,1,Threader
TW-MPP-00794,Mesin jarum 1 S7100a,Brother,,TW1,Vietnam,Normal,1,SN
TW-MPP-00721,Alat Pindah barang,-,2026-03-16 00:00:00,TW38,China,Normal,1,Helper
TW-MPP-00497,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00596,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,China,Normal,1,Helper
TW-MPP-00495,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00494,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00493,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00492,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,China,Normal,1,Helper
TW-MPP-00491,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00490,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00489,SMART PULLER LM-DGS,LUMINO,2026-04-29 00:00:00,TW38,CHINA,Normal,1,Helper
TW-MPP-00480,Mesin Pasang Tangan,Durkop Adler,2025-05-08 00:00:00,TW38,german,Normal,1,Lain-lain
TW-MPP-00571,Mesin Pasang Tangan,Durkop Adler,2025-12-01 00:00:00,TW1,German,Normal,1,Lain-lain
-,UMUM,,,--,,,1,Manual
TW-MPP-00481,Mesin obras HX8VII-16-03C,Hikari,2026-04-29 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00482,Mesin obras HX8VII-16-03C,Hikari,2026-04-29 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00485,Mesin obras HX8VII-16-03C,Hikari,2026-04-29 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00488,Mesin obras HX8VII-16-03C,Hikari,2026-04-29 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00487,Mesin obras HX8VII-16-03C,Hikari,2026-04-29 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00484,Mesin Cuci Sharp ES-M8000P,SHARP,2025-07-22 00:00:00,TW38,,Normal,1,Helper
TW-MPP-00451,Mesin Jarum 1 S7180A,Brother,2025-07-03 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00732,Mesin Press NS-450MS,Nissin,2025-11-03 00:00:00,TW38,China,Normal,1,Maica
TW-MPP-00,Mesin Printing Sublime TS-100 1600,MIMAKI,2023-05-05 00:00:00,TW38,China,Normal,1,Helper
,Puller Carv ATM,CARV,2021-01-16 00:00:00,--,,Rusak,1,Helper
,Boiler Kompor gas,,2010-05-01 00:00:00,--,,Normal,1,Helper
,Spreading Vacum Table cutting,,2019-04-01 00:00:00,--,Indonesia,Normal,1,Manual
,Spreading Vacum Table cutting,,2019-04-01 00:00:00,--,Indonesia,Normal,1,Manual
,Spreading Vacum Table cutting,,2019-04-01 00:00:00,--,Indonesia,Normal,1,Manual
TW-MPP-00462,Mesin KM KS-AUV,MACK,,TW38,CHINA,Normal,1,Lain-lain
TW-MPP-00580,Mesin Pisau Lempar potong Gelaran NS-980D,Nissin,2025-03-14 00:00:00,TW38,CHINA,Normal,1,Manual
TW-MPP-00313,Mesin Pocket Setter M,Maica,2023-09-22 00:00:00,TW1,china,Normal,1,Pocket Setter
,,,,TW38,,,1,Lain-lain
TW-MPP-00781,Mesin Ban Karet (Kansai Plaket) DFB1404PMD,KANSAI,,TW38,JEPANG,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00773,Mesin Pisau Lempar potong Gelaran NS-980D,NISSIN,,TW1,JEPANG,Normal,1,Manual
TW-MPP-00774,Mesin Pisau Lempar potong Gelaran NS-980D,Nissin,,TW1,China,Normal,1,Manual
TW-MPP-00054,Automatic AC Voltage Regulator,MATSUYAMA,,TW1,CHINA,Normal,1,Helper
,,,,,,Terjual,1,Lain-lain
TW-MPP-00780,MESIN SNAP F-STRONG BENHO,BENHO,,TW1,CHINA,Rusak,1,Snap Attaching
TW-MPP-00118,Mesin Cuci Aquamagic,Sharp,,TW1,China,Normal,1,Helper
